date,Rainfall,T2M,RH2M,SP,WS10M,WD10M,season
1981-04-08,0.07,7.42,84.81,101.12,4.09,203.94,1
1981-04-09,0.04,8.65,82.56,101.37,4.79,198.0,1
1981-04-10,0.36,9.5,91.5,100.78,5.38,148.0,1
1981-04-11,5.07,10.92,92.0,99.61,7.43,152.31,1
1981-04-12,3.02,8.79,86.06,100.95,7.37,149.62,1
1981-04-13,0.0,7.29,78.25,102.26,7.04,94.5,1
1981-04-14,0.0,7.46,80.56,102.25,7.77,103.94,1
1981-04-15,0.0,8.91,84.81,102.23,6.07,114.5,1
1981-04-16,0.0,9.48,80.88,101.98,4.2,146.62,1
1981-04-17,0.0,8.57,84.06,101.78,5.03,124.19,1
1981-04-18,0.0,8.98,79.12,102.2,1.69,101.94,1
1981-04-19,0.0,7.5,81.38,102.26,4.13,63.31,1
1981-04-20,0.0,7.1,77.94,102.58,2.98,144.75,1
1981-04-21,0.02,7.8,83.19,102.29,6.04,337.81,1
1981-04-22,0.03,5.66,71.81,101.66,5.93,96.25,1
1981-04-23,5.23,3.55,72.44,100.9,2.18,78.62,1
1981-04-24,12.96,2.69,85.75,99.98,12.12,37.88,1
1981-04-25,0.14,4.57,71.56,101.03,7.7,20.88,1
1981-04-26,0.13,5.08,71.88,101.32,6.96,21.81,1
1981-04-27,0.21,5.98,78.75,101.6,6.05,213.12,1
1981-04-28,4.16,8.76,93.88,101.02,8.79,288.62,1
1981-04-29,1.26,10.66,92.31,100.93,9.2,284.06,1
1981-04-30,3.05,8.95,90.38,100.45,8.18,307.56,1
1981-05-01,0.03,5.4,70.94,100.62,5.55,267.06,1
1981-05-02,1.17,6.7,70.81,100.86,5.73,186.44,1
1981-05-03,10.89,6.95,88.56,98.82,8.45,266.06,1
1981-05-04,1.3,6.76,77.5,99.17,4.3,260.06,1
1981-05-05,4.01,6.69,82.62,99.12,5.98,162.88,1
1981-05-06,5.38,8.78,85.69,99.37,4.22,213.81,1
1981-05-07,12.2,10.21,92.44,99.33,5.44,134.94,1
1981-05-08,0.69,10.81,86.94,99.42,4.97,180.0,1
1981-05-09,0.3,10.09,81.75,100.27,3.73,115.19,1
1981-05-10,7.34,10.4,94.69,99.98,7.3,82.75,1
1981-05-11,0.28,12.31,91.94,99.97,3.41,32.31,1
1981-05-12,0.33,13.62,87.38,99.46,1.77,70.5,1
1981-05-13,13.4,12.33,89.88,99.43,5.42,131.31,1
1981-05-14,2.15,10.28,86.19,99.61,5.73,184.19,1
1981-05-15,1.4,10.14,86.81,99.97,8.98,131.38,1
1981-05-16,8.83,9.51,84.12,99.34,6.98,118.19,1
1981-05-17,6.48,9.84,89.69,99.11,8.84,134.19,1
1981-05-18,8.95,9.75,91.06,99.53,7.89,145.62,1
1981-05-19,0.43,11.08,81.0,100.2,5.86,194.62,1
1981-05-20,5.76,11.64,94.06,100.11,5.99,135.81,1
1981-05-21,0.9,10.72,88.12,100.06,7.18,150.69,1
1981-05-22,3.82,11.37,87.69,99.71,6.05,170.19,1
1981-05-23,5.64,10.87,88.0,98.81,9.33,172.0,1
1981-05-24,3.02,10.15,87.25,99.01,7.12,178.12,1
1981-05-25,1.6,10.33,83.5,99.16,2.8,111.5,1
1981-05-26,1.1,10.7,80.94,99.34,2.11,259.5,1
1981-05-27,1.43,10.39,85.81,99.51,3.41,113.5,1
1981-05-28,0.34,11.29,79.25,99.68,1.65,185.75,1
1981-05-29,2.57,11.85,89.19,99.97,4.8,193.88,1
1981-05-30,1.53,12.07,86.94,100.28,3.85,162.12,1
1981-05-31,6.41,13.37,88.25,100.01,4.72,191.69,1
1981-06-01,0.53,12.37,82.56,100.62,4.73,155.94,2
1981-06-02,22.0,12.73,87.94,99.76,8.88,136.62,2
1981-06-03,6.02,11.9,85.19,99.8,9.31,182.69,2
1981-06-04,2.85,11.49,87.94,99.34,7.48,218.56,2
1981-06-05,4.1,11.92,83.56,99.67,7.02,217.75,2
1981-06-06,4.19,11.03,88.5,99.47,5.48,243.38,2
1981-06-07,8.31,10.46,89.75,99.61,5.11,188.38,2
1981-06-08,4.3,12.08,87.12,98.43,5.41,181.38,2
1981-06-09,1.44,10.76,81.94,99.14,7.52,286.31,2
1981-06-10,3.47,9.86,80.88,100.31,4.77,234.06,2
1981-06-11,8.21,10.3,84.81,100.25,6.31,130.12,2
1981-06-12,4.23,11.73,83.38,101.47,5.55,137.25,2
1981-06-13,14.9,15.27,93.69,100.82,7.49,214.44,2
1981-06-14,1.2,14.87,85.75,100.82,5.02,247.25,2
1981-06-15,1.8,11.48,82.38,100.67,9.68,272.94,2
1981-06-16,0.75,10.86,80.62,101.3,10.23,298.81,2
1981-06-17,0.3,10.51,81.25,101.84,7.77,326.12,2
1981-06-18,6.96,10.76,89.12,101.75,4.45,278.5,2
1981-06-19,0.79,12.38,89.75,101.41,7.8,317.44,2
1981-06-20,0.49,11.99,88.38,101.79,7.05,336.06,2
1981-06-21,0.03,13.06,86.94,102.15,2.5,284.69,2
1981-06-22,0.17,13.58,87.69,102.0,3.88,294.69,2
1981-06-23,0.59,12.59,89.75,101.57,5.14,288.69,2
1981-06-24,0.36,12.29,83.5,101.48,6.71,340.5,2
1981-06-25,0.27,11.43,82.38,101.45,5.56,306.12,2
1981-06-26,0.21,10.95,74.88,101.38,6.31,167.88,2
1981-06-27,0.07,10.01,71.81,101.25,4.63,168.69,2
1981-06-28,0.01,10.43,75.0,101.34,4.2,333.44,2
1981-06-29,0.99,11.6,87.12,101.36,5.29,289.25,2
1981-06-30,1.14,12.4,86.94,100.64,8.03,277.94,2
1981-07-01,2.44,11.75,82.69,99.69,8.12,249.94,2
1981-07-02,4.53,11.19,86.88,99.33,4.81,189.88,2
1981-07-03,0.45,12.66,80.0,99.5,2.12,234.12,2
1981-07-04,1.04,13.83,86.19,100.14,5.67,211.94,2
1981-07-05,11.92,13.81,86.0,99.69,7.96,202.19,2
1981-07-06,2.7,13.69,84.38,99.92,8.37,216.69,2
1981-07-07,2.03,15.64,84.38,100.34,7.39,188.0,2
1981-07-08,4.4,14.94,87.44,100.41,5.14,214.38,2
1981-07-09,0.62,13.12,84.75,100.8,2.97,314.44,2
1981-07-10,6.6,12.49,84.56,100.59,5.01,196.44,2
1981-07-11,2.63,13.93,89.0,100.3,5.2,281.56,2
1981-07-12,0.18,13.29,80.88,100.86,3.4,307.25,2
1981-07-13,0.72,13.62,84.94,100.84,4.82,263.38,2
1981-07-14,0.99,13.81,86.56,101.23,4.43,289.0,2
1981-07-15,2.97,13.52,88.56,101.0,4.72,268.69,2
1981-07-16,6.38,12.37,85.56,100.26,7.42,285.19,2
1981-07-17,4.14,12.37,84.81,100.35,8.81,313.88,2
1981-07-18,4.16,13.16,84.5,101.12,5.3,286.81,2
1981-07-19,4.91,14.28,91.19,100.84,6.41,277.12,2
1981-07-20,4.14,13.72,90.62,100.72,5.87,273.56,2
1981-07-21,12.64,13.02,89.19,100.19,5.2,272.81,2
1981-07-22,4.59,12.76,84.5,99.7,10.03,337.5,2
1981-07-23,0.43,12.82,82.5,100.21,9.51,349.19,2
1981-07-24,0.96,11.69,81.06,100.87,6.65,321.5,2
1981-07-25,4.12,14.22,91.19,100.95,4.41,248.88,2
1981-07-26,0.37,15.22,87.25,101.47,5.64,285.06,2
1981-07-27,0.42,16.11,87.69,101.8,4.98,268.69,2
1981-07-28,5.58,14.86,88.81,101.27,5.59,251.38,2
1981-07-29,0.07,13.21,82.06,101.45,4.63,326.31,2
1981-07-30,0.12,13.21,87.44,101.45,2.98,316.75,2
1981-07-31,0.15,12.18,86.25,100.92,5.59,338.62,2
1981-08-01,0.01,12.54,80.62,101.0,3.77,239.12,2
1981-08-02,0.01,14.33,82.12,101.22,4.52,207.06,2
1981-08-03,8.6,15.08,90.38,101.2,5.74,226.12,2
1981-08-04,0.03,15.65,82.31,101.58,3.85,227.81,2
1981-08-05,1.71,14.32,88.25,101.41,3.56,296.88,2
1981-08-06,0.03,13.29,85.75,101.43,4.6,235.38,2
1981-08-07,0.83,15.0,88.56,101.38,2.55,89.5,2
1981-08-08,3.61,13.33,90.12,101.05,4.83,247.44,2
1981-08-09,0.3,12.4,79.62,101.44,4.07,309.88,2
1981-08-10,3.26,12.28,87.69,101.26,5.74,197.88,2
1981-08-11,1.0,16.61,90.12,100.95,5.16,210.88,2
1981-08-12,3.53,15.49,91.25,100.82,4.91,188.62,2
1981-08-13,3.24,16.82,89.94,100.59,3.98,218.31,2
1981-08-14,0.06,13.69,85.25,101.11,3.45,263.5,2
1981-08-15,0.89,12.73,85.0,101.17,4.9,268.06,2
1981-08-16,0.05,13.07,80.12,101.73,4.28,301.81,2
1981-08-17,3.59,14.12,90.69,101.51,4.94,233.81,2
1981-08-18,1.27,14.08,86.12,101.03,6.91,272.0,2
1981-08-19,8.99,13.73,90.38,100.22,9.38,267.44,2
1981-08-20,0.25,12.87,82.69,100.4,8.3,324.19,2
1981-08-21,1.77,13.26,83.31,100.59,7.67,290.44,2
1981-08-22,1.5,13.33,88.25,100.93,5.03,315.5,2
1981-08-23,0.5,14.76,86.44,101.61,1.86,221.06,2
1981-08-24,0.88,16.27,90.19,101.85,3.4,257.69,2
1981-08-25,0.72,15.49,90.44,102.0,4.37,283.44,2
1981-08-26,0.04,14.87,82.62,102.27,1.88,220.0,2
1981-08-27,0.08,15.93,84.38,101.79,3.14,167.44,2
1981-08-28,0.1,16.16,90.06,100.97,4.67,157.12,2
1981-08-29,0.05,16.64,85.69,100.69,3.23,109.75,2
1981-08-30,0.23,16.01,90.06,101.13,4.51,92.44,2
1981-08-31,0.05,14.07,83.5,101.32,4.21,109.0,2
1981-09-01,0.06,13.67,84.5,101.45,4.67,122.0,3
1981-09-02,0.07,14.62,85.94,101.68,4.97,143.25,3
1981-09-03,0.24,15.42,88.12,101.81,5.9,167.62,3
1981-09-04,16.63,17.16,88.62,101.24,7.73,198.88,3
1981-09-05,3.2,15.28,83.94,101.36,5.11,268.38,3
1981-09-06,0.68,13.49,83.88,101.35,2.66,117.12,3
1981-09-07,1.09,14.66,90.75,100.44,4.95,178.38,3
1981-09-08,0.32,13.8,81.5,100.49,4.93,249.38,3
1981-09-09,3.28,14.48,92.38,100.42,6.96,167.0,3
1981-09-10,15.16,15.14,89.94,98.87,12.57,162.44,3
1981-09-11,2.62,12.44,83.94,99.4,7.43,190.44,3
1981-09-12,0.67,11.66,82.56,100.02,3.43,187.25,3
1981-09-13,0.56,11.5,84.19,100.46,3.55,253.31,3
1981-09-14,15.98,12.98,94.12,100.21,7.05,159.31,3
1981-09-15,1.73,13.59,88.12,100.47,5.48,269.69,3
1981-09-16,3.84,12.85,85.94,100.6,5.55,188.75,3
1981-09-17,9.2,13.75,91.56,99.55,5.87,196.62,3
1981-09-18,6.83,12.58,86.5,98.47,6.81,234.88,3
1981-09-19,12.21,11.98,86.88,98.0,7.23,161.0,3
1981-09-20,5.11,11.83,85.75,97.62,9.09,264.5,3
1981-09-21,1.51,11.51,87.56,98.64,6.75,242.19,3
1981-09-22,2.38,11.49,85.19,99.73,6.71,280.88,3
1981-09-23,13.98,11.4,93.62,99.53,8.41,213.25,3
1981-09-24,2.67,11.59,90.19,98.31,7.58,203.75,3
1981-09-25,1.85,10.66,87.19,98.13,4.96,188.5,3
1981-09-26,35.74,11.25,93.38,97.41,5.9,140.19,3
1981-09-27,8.91,12.0,89.75,97.71,10.22,256.62,3
1981-09-28,2.09,11.48,87.38,99.7,7.9,267.38,3
1981-09-29,7.69,11.15,89.06,100.03,6.06,181.5,3
1981-09-30,3.28,12.48,94.06,99.19,5.77,201.25,3
1981-10-01,7.05,9.76,88.5,99.36,7.8,78.81,3
1981-10-02,41.61,5.48,92.38,98.56,13.52,153.75,3
1981-10-03,12.06,9.23,89.25,97.66,7.84,118.5,3
1981-10-04,1.59,10.02,86.38,98.88,9.29,268.0,3
1981-10-05,0.37,7.4,75.12,99.67,3.21,269.12,3
1981-10-06,4.01,7.04,85.31,98.86,7.1,195.69,3
1981-10-07,5.4,7.72,84.94,99.58,9.62,252.56,3
1981-10-08,16.8,10.08,94.0,99.15,5.19,111.94,3
1981-10-09,6.61,10.52,90.62,97.8,8.72,237.5,3
1981-10-10,1.61,7.78,81.88,98.91,10.69,276.31,3
1981-10-11,1.71,7.28,81.31,99.59,10.11,288.31,3
1981-10-12,2.06,6.59,82.5,99.6,8.41,294.88,3
1981-10-13,1.25,6.22,81.5,100.3,7.15,296.56,3
1981-10-14,0.99,4.96,81.06,100.17,4.94,319.31,3
1981-10-15,0.79,5.86,82.19,100.26,4.09,318.88,3
1981-10-16,1.52,6.75,85.19,100.93,4.49,264.94,3
1981-10-17,0.19,6.4,78.81,101.13,1.95,167.31,3
1981-10-18,9.51,7.15,88.94,100.58,8.87,201.88,3
1981-10-19,1.61,9.89,86.12,99.72,8.09,272.88,3
1981-10-20,3.61,7.3,82.69,99.93,10.29,315.31,3
1981-10-21,1.33,7.79,83.06,100.48,9.73,337.88,3
1981-10-22,0.19,7.01,81.44,100.91,4.69,342.06,3
1981-10-23,4.95,8.67,94.62,100.85,4.1,266.75,3
1981-10-24,3.45,7.16,92.25,100.39,5.34,279.62,3
1981-10-25,2.68,5.91,85.0,99.95,6.64,312.81,3
1981-10-26,3.69,6.12,89.19,100.03,6.95,249.62,3
1981-10-27,4.06,6.0,91.38,99.42,8.48,240.88,3
1981-10-28,5.11,6.52,93.12,99.07,8.48,225.88,3
1981-10-29,5.09,6.07,90.62,99.1,9.3,249.44,3
1981-10-30,8.97,6.95,91.0,99.04,7.37,225.5,3
1981-10-31,0.81,8.51,85.19,99.88,9.12,251.19,3
1981-11-01,7.79,9.58,96.0,100.18,6.12,223.06,3
1981-11-02,1.99,9.03,91.0,100.67,5.98,224.31,3
1981-11-03,3.78,10.13,92.12,100.1,10.2,215.88,3
1981-11-04,0.38,8.37,83.44,101.63,7.48,282.75,3
1981-11-05,0.01,7.35,81.56,102.44,3.3,158.69,3
1981-11-06,0.02,8.1,88.44,102.37,6.69,152.19,3
1981-11-07,0.17,8.9,90.44,102.12,6.62,157.38,3
1981-11-08,0.39,9.09,91.62,102.04,6.12,178.88,3
1981-11-09,2.86,8.01,94.0,102.0,7.15,223.56,3
1981-11-10,5.31,9.55,93.88,101.11,10.06,232.69,3
1981-11-11,3.64,9.59,92.56,100.49,7.41,286.0,3
1981-11-12,0.6,7.34,83.88,101.54,7.81,295.31,3
1981-11-13,0.38,7.09,85.81,102.19,7.62,289.25,3
1981-11-14,0.34,6.33,92.75,102.29,6.56,225.62,3
1981-11-15,4.71,6.77,87.62,100.75,10.97,201.75,3
1981-11-16,2.71,4.9,87.81,100.55,7.69,213.75,3
1981-11-17,3.74,7.31,94.25,99.45,8.4,225.31,3
1981-11-18,2.63,5.42,90.75,99.33,7.07,246.38,3
1981-11-19,4.41,5.56,91.5,99.96,7.14,217.88,3
1981-11-20,3.82,7.37,80.69,99.24,13.41,251.69,3
1981-11-21,8.66,8.33,93.75,100.37,8.17,221.81,3
1981-11-22,2.47,11.14,93.75,100.18,9.88,224.06,3
1981-11-23,7.4,6.52,81.81,99.72,10.98,285.56,3
1981-11-24,0.49,3.8,74.44,101.24,10.95,301.62,3
1981-11-25,3.18,4.59,92.62,101.49,7.33,242.88,3
1981-11-26,8.09,9.84,94.62,100.22,8.45,227.06,3
1981-11-27,3.58,6.59,85.38,99.51,11.77,280.31,3
1981-11-28,3.07,5.94,83.62,100.32,12.01,312.31,3
1981-11-29,3.84,5.39,90.5,101.11,5.14,267.0,3
1981-11-30,6.15,8.63,93.94,100.28,7.92,231.19,3
1981-12-01,0.38,5.82,88.69,101.74,3.14,234.19,4
1981-12-02,0.79,8.09,93.81,102.56,4.73,301.75,4
1981-12-03,2.2,8.81,95.62,102.32,8.77,261.88,4
1981-12-04,2.08,7.19,86.56,101.64,9.45,318.69,4
1981-12-05,2.2,5.56,88.81,100.64,6.09,299.56,4
1981-12-06,3.77,5.79,87.88,99.28,7.42,309.44,4
1981-12-07,1.72,3.35,83.44,98.4,4.34,158.5,4
1981-12-08,1.38,1.37,81.88,98.06,5.32,251.5,4
1981-12-09,1.46,0.26,86.62,98.43,3.02,209.0,4
1981-12-10,0.19,0.19,78.81,99.13,2.19,168.12,4
1981-12-11,0.45,0.44,73.88,99.25,3.26,72.94,4
1981-12-12,0.16,-1.95,89.0,99.61,5.32,228.06,4
1981-12-13,9.9,1.48,88.0,97.57,10.49,142.5,4
1981-12-14,3.38,2.24,90.69,97.14,4.75,148.06,4
1981-12-15,0.17,2.21,84.5,98.65,6.53,121.0,4
1981-12-16,0.08,1.16,82.81,99.3,5.76,141.12,4
1981-12-17,0.07,-0.12,81.19,99.92,3.35,122.12,4
1981-12-18,0.01,-1.02,80.25,100.73,3.46,145.5,4
1981-12-19,7.31,2.11,89.31,99.64,13.43,173.38,4
1981-12-20,3.53,4.04,97.31,98.09,7.23,182.06,4
1981-12-21,3.63,2.51,95.94,98.35,4.17,109.25,4
1981-12-22,0.99,1.16,86.38,98.94,4.69,132.5,4
1981-12-23,0.06,0.4,85.69,98.96,6.98,109.5,4
1981-12-24,0.11,0.77,83.75,99.49,3.66,39.25,4
1981-12-25,1.03,1.58,89.44,99.94,5.84,136.06,4
1981-12-26,4.61,5.19,95.12,99.18,13.18,134.06,4
1981-12-27,7.92,2.86,91.69,98.86,10.76,121.62,4
1981-12-28,0.87,2.91,89.31,98.38,10.95,93.38,4
1981-12-29,4.5,3.55,94.25,97.18,8.54,77.94,4
1981-12-30,3.36,3.7,94.94,96.33,5.81,104.69,4
1981-12-31,0.73,2.82,95.0,97.42,5.05,216.0,4
1982-01-01,0.28,2.45,93.0,99.1,4.09,214.0,4
1982-01-02,12.42,5.23,95.88,98.98,5.43,165.62,4
1982-01-03,14.7,8.42,96.38,98.28,5.81,167.56,4
1982-01-04,5.81,6.74,97.06,98.26,2.98,190.88,4
1982-01-05,8.21,3.82,92.69,99.17,5.91,107.69,4
1982-01-06,0.03,-0.18,78.81,101.37,5.5,79.5,4
1982-01-07,0.06,0.15,79.75,101.49,5.16,141.69,4
1982-01-08,4.07,-0.38,84.0,100.71,13.13,100.75,4
1982-01-09,0.06,-1.52,80.94,101.27,9.05,90.12,4
1982-01-10,0.0,-2.04,81.56,100.61,6.3,112.44,4
1982-01-11,0.01,-1.52,80.75,100.45,2.94,63.81,4
1982-01-12,0.1,-0.32,88.06,101.72,3.65,225.56,4
1982-01-13,0.1,-0.41,93.81,101.86,8.28,193.5,4
1982-01-14,0.36,1.01,97.0,101.1,6.97,181.88,4
1982-01-15,0.95,2.52,94.19,100.16,8.02,156.0,4
1982-01-16,1.69,4.97,97.44,99.59,9.21,164.12,4
1982-01-17,1.02,3.62,97.12,100.36,7.16,172.81,4
1982-01-18,5.05,6.22,96.62,100.08,10.41,155.31,4
1982-01-19,5.38,6.56,97.12,100.39,6.27,158.44,4
1982-01-20,6.89,5.69,96.06,100.03,8.31,161.94,4
1982-01-21,8.87,5.9,93.44,100.15,9.48,218.94,4
1982-01-22,2.89,5.08,87.44,100.6,10.86,275.06,4
1982-01-23,0.25,4.44,91.88,101.22,4.39,242.06,4
1982-01-24,4.22,5.85,97.44,101.19,4.72,216.94,4
1982-01-25,4.74,7.93,95.88,100.35,7.92,246.12,4
1982-01-26,2.64,5.9,90.06,99.33,10.39,301.12,4
1982-01-27,0.72,3.65,84.06,101.44,6.43,300.38,4
1982-01-28,1.87,6.89,87.38,101.09,10.94,275.94,4
1982-01-29,2.54,9.03,93.12,100.74,11.45,267.25,4
