date,SP,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,SH2M,RH2M,Rainfall,T2M,T2MDEW,T2MWET,TSkin,T2M_RANGE,T2M_MAX,T2M_MIN,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
1982-01-06,98.8,6.33,7.39,5.3,2.09,80.44,3.05,94.69,1.9,-2.15,-3.09,-2.62,-2.14,2.82,-0.28,-3.1,8.25,9.57,7.4,2.17,81.25
1982-01-07,99.24,8.69,13.21,6.08,7.13,109.31,2.69,92.81,6.46,-3.29,-4.57,-3.93,-3.24,2.41,-2.12,-4.52,11.18,17.03,7.87,9.16,110.44
1982-01-08,97.88,12.98,14.47,11.62,2.84,104.81,2.69,95.12,35.15,-3.9,-4.89,-4.39,-4.09,2.48,-3.1,-5.59,16.45,18.37,14.67,3.7,106.31
1982-01-09,98.38,8.91,11.29,7.93,3.35,78.06,2.2,95.94,6.73,-6.24,-7.23,-6.74,-6.51,3.31,-4.77,-8.08,11.75,14.37,10.82,3.55,79.06
1982-01-10,97.97,8.33,8.98,6.88,2.09,83.44,1.71,97.38,0.01,-9.32,-10.16,-9.74,-9.74,5.11,-6.74,-11.85,11.16,12.06,9.87,2.2,84.44
1982-01-11,97.89,6.23,7.59,4.02,3.56,62.12,1.77,96.5,0.0,-9.13,-10.06,-9.6,-10.06,7.85,-4.11,-11.96,9.63,10.88,8.27,2.61,62.75
1982-01-12,99.61,3.75,4.3,2.9,1.41,77.0,2.2,99.06,0.12,-6.82,-7.34,-7.08,-7.51,10.13,-1.91,-12.04,6.53,8.16,5.0,3.16,77.69
1982-01-13,100.12,4.62,5.98,3.23,2.75,111.38,2.14,99.75,0.16,-7.02,-7.49,-7.25,-7.31,5.29,-3.93,-9.21,6.84,8.57,5.56,3.01,111.38
1982-01-14,99.36,4.59,5.69,3.27,2.41,120.38,2.14,99.06,0.09,-6.96,-7.53,-7.24,-7.42,7.25,-2.54,-9.79,6.98,8.2,5.0,3.2,120.81
1982-01-15,98.44,6.45,8.05,4.59,3.45,128.44,3.3,99.06,1.0,-2.51,-2.78,-2.64,-2.98,11.4,0.92,-10.48,9.16,11.25,7.55,3.7,129.31
1982-01-16,98.09,5.77,7.59,3.06,4.52,145.5,4.33,99.44,2.96,1.62,1.58,1.61,0.65,1.77,2.55,0.78,9.56,11.24,6.45,4.8,146.44
1982-01-17,98.74,3.46,4.69,2.75,1.95,171.62,4.7,100.0,1.06,2.65,2.8,2.73,1.56,2.3,3.92,1.62,6.72,8.3,4.84,3.45,172.25
1982-01-18,98.62,6.16,7.29,4.67,2.62,149.06,5.49,99.12,0.9,5.06,4.94,5.01,4.43,4.34,7.33,2.98,9.32,10.47,8.12,2.34,150.38
1982-01-19,98.61,5.27,6.84,4.27,2.57,143.38,5.8,98.38,6.76,5.94,5.7,5.82,5.6,1.9,6.98,5.08,7.56,9.77,6.53,3.23,144.25
1982-01-20,98.73,5.02,8.02,3.27,4.76,194.81,5.31,97.12,9.45,4.83,4.44,4.63,4.35,4.85,6.73,1.87,7.72,10.55,5.97,4.59,195.94
1982-01-21,99.06,6.85,10.26,3.98,6.27,220.38,5.55,97.12,8.24,5.48,5.07,5.28,4.95,5.17,7.91,2.74,9.95,13.73,7.62,6.12,221.81
1982-01-22,99.16,7.17,8.82,5.5,3.32,277.06,4.58,94.88,1.68,3.21,2.48,2.85,2.69,2.29,4.54,2.25,10.21,11.88,8.06,3.81,278.0
1982-01-23,99.37,3.87,7.55,1.52,6.03,264.56,4.7,96.12,0.78,3.42,2.87,3.15,3.26,3.61,5.4,1.79,5.55,9.97,2.99,6.98,264.81
1982-01-24,99.43,2.18,2.88,0.88,1.99,215.38,5.43,98.88,1.3,4.97,4.83,4.9,4.73,2.57,5.97,3.4,3.94,5.32,1.44,3.88,216.31
1982-01-25,98.99,5.48,9.8,2.52,7.27,263.0,6.16,98.44,2.37,6.92,6.71,6.82,6.73,2.34,8.31,5.98,7.74,13.11,5.26,7.85,264.06
1982-01-26,97.41,9.04,10.3,7.04,3.26,289.88,5.49,96.0,7.75,5.26,4.69,4.98,4.96,4.54,8.41,3.87,12.05,13.83,9.34,4.49,291.19
1982-01-27,99.28,5.29,9.8,2.34,7.45,309.0,3.66,89.62,0.25,0.83,-0.71,0.06,0.37,5.66,4.35,-1.31,7.88,13.03,4.6,8.44,309.56
1982-01-28,99.6,6.38,8.63,3.01,5.62,276.19,4.94,94.81,0.88,4.15,3.4,3.78,3.76,7.5,7.06,-0.44,9.21,11.82,6.52,5.29,277.19
1982-01-29,99.36,8.1,9.34,6.48,2.86,278.31,6.41,97.38,1.54,7.62,7.26,7.44,7.37,4.35,9.27,4.92,10.87,12.23,8.88,3.36,279.75
1982-01-30,99.4,8.4,9.39,7.18,2.21,279.88,5.92,97.44,0.97,6.54,6.19,6.36,6.38,1.62,7.42,5.8,11.08,12.2,9.57,2.62,281.25
1982-01-31,99.81,3.92,6.71,2.23,4.48,261.56,5.68,97.56,0.86,5.87,5.55,5.71,5.73,2.64,7.29,4.65,5.84,9.03,4.64,4.39,262.25
1982-02-01,99.6,4.36,5.3,3.64,1.66,190.31,5.49,98.06,1.47,5.4,5.14,5.27,5.19,2.18,6.49,4.31,6.24,6.88,5.52,1.36,191.25
1982-02-02,98.79,6.84,8.1,5.09,3.01,134.38,4.82,95.25,0.34,3.84,3.16,3.5,3.7,4.43,6.23,1.8,8.91,10.8,6.45,4.36,135.06
1982-02-03,98.3,7.56,8.26,7.02,1.24,139.75,5.49,97.06,0.49,5.23,4.82,5.02,5.12,5.12,7.6,2.48,9.86,10.77,9.29,1.48,140.88
1982-02-04,98.72,7.79,9.09,6.01,3.09,141.31,5.98,97.0,2.85,6.49,6.08,6.29,6.42,3.64,8.26,4.62,10.02,11.88,7.73,4.14,142.5
1982-02-05,98.74,6.84,8.77,5.03,3.74,194.62,6.71,97.06,15.5,8.2,7.79,7.99,7.86,2.46,9.37,6.91,9.35,12.0,7.31,4.7,196.12
1982-02-06,98.63,6.96,9.91,3.63,6.27,221.31,6.16,97.38,3.42,6.89,6.51,6.7,6.76,3.34,8.58,5.25,9.15,12.93,5.57,7.36,222.88
1982-02-07,98.62,3.85,7.17,1.39,5.79,229.69,5.07,95.5,0.67,4.31,3.65,3.98,4.38,5.05,6.59,1.53,5.15,9.64,1.66,7.98,230.62
1982-02-08,98.62,6.81,10.6,3.27,7.34,223.38,4.76,93.44,1.13,3.48,2.51,2.99,2.91,8.96,7.26,-1.7,9.93,13.95,6.43,7.52,224.69
1982-02-09,98.45,9.46,10.59,8.46,2.13,203.0,6.47,95.19,2.97,8.03,7.32,7.67,7.72,4.13,10.19,6.06,12.57,13.93,11.05,2.88,204.88
1982-02-10,98.41,7.8,9.93,5.98,3.95,187.88,6.53,96.5,1.52,7.93,7.43,7.68,7.76,2.73,9.71,6.98,10.3,13.24,7.64,5.6,189.38
1982-02-11,98.38,6.38,8.73,4.28,4.45,221.75,5.37,91.75,2.91,5.68,4.43,5.05,5.2,5.99,8.32,2.33,9.22,11.95,6.61,5.34,222.88
1982-02-12,97.7,11.36,14.47,6.22,8.25,183.0,5.86,96.0,12.8,6.22,5.64,5.93,5.89,5.68,8.74,3.06,14.91,18.86,8.7,10.16,184.62
1982-02-13,97.47,7.24,8.93,4.27,4.66,221.06,5.31,93.38,2.16,5.28,4.32,4.8,4.91,4.01,6.97,2.96,10.04,12.36,6.95,5.41,222.44
1982-02-14,98.51,2.37,5.36,0.86,4.5,171.19,4.21,90.38,0.19,2.6,1.11,1.85,2.37,5.33,5.96,0.63,4.09,8.51,0.88,7.62,171.25
1982-02-15,99.25,5.15,6.6,3.3,3.3,86.38,3.97,95.94,0.11,1.01,0.4,0.7,0.9,6.92,4.94,-1.99,7.25,8.91,6.06,2.84,87.0
1982-02-16,99.46,5.22,6.02,4.07,1.95,72.44,3.36,92.62,0.27,-0.5,-1.7,-1.1,-0.45,5.54,2.82,-2.72,7.11,8.38,5.8,2.58,73.38
1982-02-17,98.93,5.91,7.9,4.26,3.64,84.0,3.6,94.19,1.2,0.0,-0.89,-0.45,-0.05,3.57,2.13,-1.44,7.97,9.95,6.01,3.95,84.88
1982-02-18,99.02,3.42,4.14,2.32,1.82,121.88,3.91,95.81,0.37,0.68,0.06,0.37,0.52,6.3,4.56,-1.74,5.36,7.05,4.27,2.79,122.56
1982-02-19,99.45,5.06,5.91,4.09,1.82,117.94,4.27,94.75,0.27,2.17,1.4,1.79,2.3,5.05,5.26,0.23,6.56,7.38,5.77,1.61,118.38
1982-02-20,99.39,6.87,8.77,5.31,3.45,121.62,3.23,91.88,0.09,-0.93,-2.23,-1.58,-0.83,5.27,1.88,-3.39,8.82,11.31,6.91,4.4,121.75
1982-02-21,98.66,7.53,9.57,2.74,6.83,136.44,3.91,94.75,4.31,0.81,0.05,0.43,0.67,4.66,2.88,-1.77,9.99,12.7,4.66,8.03,137.06
1982-02-22,98.42,2.86,3.66,2.06,1.59,57.56,3.91,93.0,0.92,1.14,0.08,0.62,1.07,6.86,4.4,-2.45,4.53,6.2,2.96,3.23,58.0
1982-02-23,98.67,3.41,4.85,0.88,3.98,149.69,3.85,94.31,0.03,0.74,-0.19,0.27,0.37,8.18,5.5,-2.68,4.66,6.05,1.27,4.78,150.12
1982-02-24,97.7,5.92,9.45,0.82,8.63,187.0,4.58,96.5,1.66,2.61,2.11,2.36,2.49,4.86,4.37,-0.49,8.01,12.27,1.39,10.88,187.62
1982-02-25,97.21,4.56,8.82,1.79,7.03,240.75,4.58,90.88,3.16,3.53,2.14,2.83,3.26,4.13,5.87,1.74,6.44,11.54,2.8,8.73,241.06
1982-02-26,97.47,5.7,9.05,2.62,6.44,228.69,5.43,94.94,4.77,5.23,4.47,4.85,4.97,6.48,9.08,2.6,8.23,11.9,4.74,7.16,229.81
1982-02-27,97.78,4.0,5.23,1.86,3.38,202.5,5.92,97.81,1.59,6.12,5.81,5.96,5.98,3.22,7.69,4.47,5.73,7.35,3.3,4.05,203.5
1982-02-28,97.7,7.69,11.98,5.11,6.87,223.44,6.84,96.88,9.84,8.35,7.9,8.12,8.18,3.34,10.21,6.87,10.23,16.03,7.3,8.73,225.12
1982-03-01,96.94,8.24,11.79,6.27,5.52,247.31,5.25,93.88,11.4,4.94,4.06,4.5,4.64,4.81,7.77,2.95,11.11,15.63,9.09,6.55,248.5
1982-03-02,97.77,9.4,14.17,5.88,8.3,241.69,5.43,95.12,14.42,5.23,4.53,4.88,5.04,6.46,8.99,2.53,12.48,18.68,8.17,10.5,243.0
1982-03-03,96.84,11.55,13.47,10.34,3.13,255.81,5.31,90.19,2.51,5.68,4.2,4.94,5.28,5.0,8.94,3.94,15.37,17.8,13.85,3.95,257.06
1982-03-04,98.5,6.56,10.77,2.57,8.2,250.31,4.7,92.69,0.84,3.76,2.73,3.24,3.44,7.26,6.9,-0.36,9.19,14.43,4.52,9.91,251.06
1982-03-05,100.22,4.19,6.48,1.52,4.96,154.69,4.39,93.81,0.31,2.76,1.86,2.31,2.58,7.25,6.18,-1.07,5.65,8.83,2.45,6.39,155.31
1982-03-06,99.28,7.87,10.81,2.27,8.55,218.5,5.49,97.06,26.51,5.46,5.05,5.26,5.24,3.2,7.27,4.08,10.44,13.98,3.42,10.56,219.75
1982-03-07,99.35,3.64,5.54,1.34,4.2,157.62,4.88,92.62,1.01,4.46,3.33,3.89,4.61,4.95,7.26,2.3,5.16,7.18,1.74,5.44,158.0
1982-03-08,98.58,4.0,6.3,2.55,3.76,229.38,4.09,92.75,2.76,1.91,0.83,1.37,1.58,4.93,4.92,-0.01,6.2,8.04,5.08,2.96,230.19
1982-03-09,97.64,7.46,12.58,2.9,9.69,205.31,5.19,97.5,18.2,4.18,3.85,4.01,3.81,6.38,7.01,0.63,10.57,16.5,6.3,10.2,206.75
1982-03-10,96.32,11.12,13.09,8.97,4.13,267.0,5.55,91.62,4.12,5.79,4.54,5.16,5.58,7.85,8.33,0.47,14.62,17.04,11.98,5.06,268.5
1982-03-11,97.82,8.69,11.09,4.98,6.12,255.81,4.46,90.81,2.69,3.09,1.74,2.41,2.87,5.05,5.19,0.12,11.7,15.02,7.71,7.3,257.06
1982-03-12,97.12,11.43,14.77,8.12,6.65,254.0,4.58,90.25,11.21,3.41,1.94,2.68,3.19,5.86,7.25,1.39,15.0,18.95,10.55,8.4,255.56
1982-03-13,98.64,7.55,10.09,4.85,5.23,266.75,4.52,89.75,0.49,3.62,2.05,2.83,3.45,5.38,5.94,0.55,10.34,13.29,7.95,5.34,267.75
1982-03-14,98.17,10.16,13.38,7.08,6.3,221.56,6.04,96.69,19.57,6.75,6.28,6.51,6.53,3.02,7.82,4.8,13.39,17.66,9.62,8.03,223.19
1982-03-15,96.86,6.66,12.65,3.26,9.39,240.31,4.94,88.69,18.62,4.87,3.11,3.99,4.8,4.9,7.04,2.13,9.05,16.57,4.66,11.91,241.31
1982-03-16,96.65,8.16,12.31,5.01,7.3,254.38,4.7,92.44,5.55,3.57,2.44,3.01,3.44,4.03,5.72,1.69,10.88,15.77,6.96,8.8,255.69
1982-03-17,97.37,6.83,8.38,5.45,2.93,284.94,4.7,92.0,1.86,3.8,2.6,3.2,3.65,3.97,6.03,2.06,9.32,10.48,8.19,2.29,285.88
1982-03-18,98.05,5.35,7.05,2.12,4.93,289.31,4.52,91.12,0.64,3.43,2.1,2.76,3.26,4.7,6.11,1.41,7.6,9.7,3.72,5.98,290.0
1982-03-19,97.72,4.62,8.03,2.16,5.88,210.19,4.76,95.25,3.73,3.34,2.67,3.01,3.18,5.95,6.26,0.31,6.59,11.09,3.73,7.37,210.75
1982-03-20,98.34,4.37,8.16,1.45,6.7,231.5,4.76,87.88,1.26,4.73,2.83,3.78,4.78,4.83,7.48,2.65,5.92,10.91,2.35,8.55,217.38
1982-03-21,99.03,3.81,6.44,1.33,5.11,210.38,4.82,97.75,5.23,3.37,3.09,3.23,3.05,4.05,5.91,1.86,5.6,8.08,2.65,5.44,211.06
1982-03-22,99.98,3.7,4.84,2.05,2.8,295.31,4.94,90.06,0.14,5.18,3.57,4.37,5.26,7.32,9.4,2.09,5.29,6.67,3.42,3.25,295.69
1982-03-23,100.63,1.98,2.89,1.32,1.57,148.25,4.27,80.5,0.01,4.92,1.65,3.29,4.14,10.09,10.01,-0.06,2.69,3.27,1.88,1.38,148.25
1982-03-24,100.78,2.22,2.88,1.47,1.41,194.12,4.88,86.44,0.0,5.61,3.44,4.53,4.77,11.11,11.2,0.09,2.98,3.7,2.14,1.55,194.0
1982-03-25,100.41,2.51,3.41,1.72,1.7,180.19,4.76,86.69,0.01,5.21,3.09,4.15,4.69,10.62,11.38,0.76,3.45,4.04,3.01,1.03,179.88
1982-03-26,99.77,2.47,3.66,1.64,2.02,159.06,4.94,83.44,0.0,6.44,3.56,5.0,4.9,12.09,12.76,0.67,3.39,4.3,2.4,1.89,158.94
1982-03-27,98.91,1.33,1.9,0.37,1.53,157.75,5.49,88.44,0.01,6.84,4.94,5.89,5.07,8.7,11.97,3.26,1.78,2.85,0.47,2.39,156.81
1982-03-28,98.44,2.69,4.6,0.59,4.02,287.56,5.31,91.06,0.13,5.72,4.33,5.02,5.51,8.96,11.19,2.23,3.75,7.01,0.76,6.24,288.06
1982-03-29,98.49,7.06,10.21,4.44,5.77,336.75,4.39,86.94,0.85,3.74,1.69,2.72,3.62,4.87,6.03,1.17,9.82,13.13,5.89,7.24,337.25
1982-03-30,99.08,5.45,6.84,3.71,3.13,42.12,4.09,86.38,0.07,3.1,0.92,2.01,3.37,7.29,6.82,-0.47,7.43,8.53,6.25,2.27,43.06
1982-03-31,98.89,5.98,7.86,3.59,4.27,66.75,4.15,87.06,0.04,2.96,0.87,1.91,3.19,9.62,7.92,-1.7,8.16,9.91,5.98,3.93,67.38
1982-04-01,98.25,5.07,6.45,2.56,3.88,117.38,4.33,95.0,2.18,2.05,1.4,1.73,1.98,5.93,5.71,-0.22,7.16,8.17,4.7,3.47,118.06
1982-04-02,98.57,2.55,3.73,1.4,2.32,205.31,4.94,89.5,0.48,4.96,3.3,4.13,5.34,9.1,9.99,0.89,3.8,5.14,1.9,3.24,205.62
1982-04-03,98.5,5.42,7.4,2.07,5.33,163.19,5.98,94.19,2.82,7.01,6.13,6.58,6.97,5.8,10.27,4.48,7.52,9.42,4.27,5.15,164.44
1982-04-04,98.33,5.66,6.52,4.7,1.83,124.94,6.41,93.25,8.78,8.15,7.12,7.64,7.98,5.06,10.72,5.65,7.89,8.7,7.07,1.62,126.06
1982-04-05,97.98,3.34,5.43,1.58,3.85,142.88,7.14,94.19,2.15,9.48,8.59,9.04,9.51,6.13,12.76,6.63,4.76,7.68,3.27,4.41,143.44
1982-04-06,97.86,4.44,6.53,2.15,4.38,194.5,6.71,92.0,16.41,8.98,7.71,8.35,9.11,4.94,11.8,6.87,6.38,9.2,4.55,4.66,195.25
1982-04-07,97.44,9.0,12.29,5.55,6.74,235.19,6.96,93.94,8.47,9.09,8.17,8.63,9.02,3.15,10.32,7.16,11.98,15.99,7.95,8.04,236.62
1982-04-08,98.61,5.78,7.77,2.79,4.99,341.0,4.58,81.44,0.13,5.29,2.15,3.72,5.44,8.64,8.13,-0.51,8.07,9.45,6.02,3.44,341.62
1982-04-09,99.27,5.15,7.76,2.69,5.06,317.62,4.46,87.5,0.38,3.89,1.89,2.89,3.91,9.93,7.72,-2.21,7.52,9.97,5.03,4.94,318.25
1982-04-10,98.94,5.63,7.31,2.78,4.53,316.88,5.0,89.0,0.61,5.44,3.71,4.58,5.65,6.97,8.91,1.94,7.84,8.79,6.03,2.76,317.56
1982-04-11,99.03,4.24,6.69,2.05,4.64,340.31,4.03,81.19,0.0,3.75,0.62,2.19,3.9,8.29,8.25,-0.04,6.5,7.89,3.95,3.95,340.69
1982-04-12,99.05,3.48,4.86,2.12,2.73,165.19,4.21,82.12,0.03,4.17,1.17,2.67,4.48,9.68,9.73,0.05,5.22,7.07,3.7,3.38,150.69
1982-04-13,99.39,3.1,4.2,2.27,1.93,189.94,4.09,82.31,0.19,3.79,0.78,2.28,3.88,11.47,9.27,-2.2,4.62,5.6,4.05,1.55,175.81
1982-04-14,99.47,2.07,2.43,1.43,0.99,246.25,5.25,86.62,0.67,6.31,4.12,5.22,6.21,11.83,11.99,0.15,3.3,4.61,1.64,2.97,247.81
1982-04-15,99.46,2.42,3.14,1.34,1.8,142.19,5.98,86.0,0.11,8.73,6.31,7.52,9.12,9.42,13.56,4.15,4.05,6.72,1.38,5.34,142.06
1982-04-16,99.42,4.27,5.69,3.12,2.57,46.56,6.04,85.94,0.09,8.79,6.43,7.61,8.86,9.2,13.29,4.09,6.49,8.45,5.52,2.93,47.5
1982-04-17,99.59,4.96,6.86,2.58,4.28,77.12,5.13,83.0,0.01,7.01,4.11,5.56,7.3,9.44,11.97,2.53,7.13,8.38,5.46,2.92,77.62
1982-04-18,99.54,3.57,4.49,2.49,2.01,78.44,4.7,81.31,0.0,6.01,2.76,4.39,6.26,12.54,12.25,-0.29,5.62,7.03,4.9,2.13,78.62
1982-04-19,99.33,2.88,4.32,1.14,3.18,109.31,4.88,80.31,0.02,6.64,3.26,4.95,6.79,11.64,12.61,0.98,3.94,6.9,1.61,5.3,109.56
1982-04-20,99.34,2.58,3.84,1.41,2.43,281.44,5.68,83.62,0.0,8.28,5.51,6.9,7.84,10.08,13.73,3.65,3.66,5.42,2.04,3.38,282.12
1982-04-21,99.27,2.51,3.76,1.38,2.38,305.44,6.16,88.25,0.18,8.5,6.61,7.55,8.58,8.34,12.89,4.55,3.59,4.84,2.27,2.57,305.44
1982-04-22,99.25,2.41,4.65,0.76,3.89,296.62,6.35,88.06,0.63,8.97,7.03,8.0,9.24,9.84,14.1,4.27,3.52,6.47,1.03,5.44,297.75
1982-04-23,99.86,5.2,7.63,3.02,4.61,338.62,5.07,82.62,0.06,6.98,3.99,5.48,7.36,8.2,10.73,2.53,7.42,9.39,5.66,3.73,339.19
1982-04-24,100.55,3.82,4.93,2.7,2.23,109.56,5.98,86.44,0.02,8.49,6.38,7.44,8.68,10.85,13.89,3.05,5.91,6.79,5.24,1.55,110.62
1982-04-25,100.75,3.84,5.64,2.09,3.55,88.38,5.62,86.81,0.01,7.54,5.48,6.51,7.62,8.51,11.54,3.03,5.59,7.08,3.59,3.49,88.88
1982-04-26,100.71,2.98,4.15,2.09,2.05,26.25,6.1,81.5,0.0,10.07,6.7,8.39,10.44,10.7,15.89,5.19,4.66,6.05,2.41,3.64,27.88
1982-04-27,100.49,2.66,3.88,0.7,3.17,228.62,6.23,82.94,0.02,9.89,6.95,8.42,10.55,13.12,16.9,3.79,4.16,6.62,0.91,5.71,199.94
1982-04-28,99.96,5.03,7.13,3.02,4.12,330.12,6.16,85.69,0.04,9.11,6.76,7.94,9.62,9.86,13.87,4.01,7.05,8.67,5.19,3.48,330.62
1982-04-29,99.43,7.2,9.68,3.52,6.16,321.56,5.43,83.38,0.23,7.66,4.94,6.3,7.83,5.73,10.79,5.06,9.9,12.41,6.72,5.7,322.19
1982-04-30,99.15,6.96,9.05,3.63,5.42,287.19,5.98,88.88,0.56,8.08,6.28,7.19,8.42,5.66,10.87,5.22,9.3,11.14,6.48,4.66,288.12
1982-05-01,99.02,7.73,10.07,3.83,6.24,301.19,4.7,80.06,0.56,5.87,2.51,4.19,6.26,4.99,7.45,2.46,10.42,12.5,7.49,5.01,301.69
1982-05-02,98.27,8.95,13.91,2.59,11.33,246.12,5.07,84.69,4.42,6.0,3.55,4.77,6.02,7.52,8.76,1.24,12.2,18.39,5.76,12.63,247.06
1982-05-03,97.19,6.6,9.82,3.99,5.82,259.38,4.7,85.06,1.38,4.86,2.46,3.66,4.92,5.3,7.56,2.26,8.91,13.62,6.39,7.24,260.06
1982-05-04,97.63,4.18,5.99,1.58,4.41,289.75,4.03,78.62,0.81,3.93,0.33,2.13,4.1,7.61,7.64,0.03,5.52,8.62,2.34,6.28,290.56
1982-05-05,98.01,1.86,3.59,0.44,3.16,160.94,3.6,70.88,0.37,4.19,-1.17,1.51,4.31,9.52,8.73,-0.8,3.05,7.07,0.69,6.38,144.25
1982-05-06,98.61,4.37,6.64,2.99,3.66,275.62,4.27,83.38,1.21,3.98,1.27,2.63,4.12,8.89,7.92,-0.97,6.44,8.34,4.27,4.07,276.19
1982-05-07,99.01,2.05,2.93,0.9,2.03,253.25,4.03,72.5,0.1,5.52,0.44,2.98,6.08,12.05,11.19,-0.85,3.31,6.31,0.95,5.36,254.69
1982-05-08,99.21,2.65,3.27,1.98,1.29,165.06,4.39,78.44,0.04,5.62,1.9,3.76,6.25,12.47,11.23,-1.24,3.92,5.88,2.25,3.63,166.31
1982-05-09,99.02,2.18,4.05,0.98,3.07,262.38,4.39,70.0,0.0,7.37,1.76,4.56,7.23,10.48,12.65,2.15,2.9,4.77,1.21,3.55,262.56
1982-05-10,98.96,3.62,5.95,1.86,4.1,170.75,5.19,79.25,0.01,7.64,4.18,5.9,7.7,11.68,13.14,1.46,5.03,7.09,2.9,4.2,170.56
1982-05-11,99.18,6.37,8.79,2.38,6.41,101.25,5.31,72.88,0.0,9.44,4.5,6.97,9.18,13.33,15.15,1.83,8.92,12.16,3.99,8.16,101.94
1982-05-12,99.4,7.95,9.3,6.28,3.03,109.44,7.2,85.0,1.13,11.21,8.73,9.97,10.93,10.84,17.14,6.3,10.84,12.61,9.13,3.48,110.44
1982-05-13,99.66,6.29,7.35,5.05,2.29,121.62,8.24,82.81,0.06,14.01,10.99,12.5,13.9,10.58,19.28,8.7,8.68,10.16,7.1,3.07,122.5
1982-05-14,99.33,5.27,7.05,2.36,4.69,124.56,7.93,81.06,0.0,13.7,10.25,11.98,13.66,13.05,19.86,6.8,7.51,9.59,4.97,4.62,125.12
1982-05-15,98.54,3.62,4.64,1.69,2.95,177.81,8.48,90.12,4.3,12.8,11.14,11.97,12.93,10.2,18.8,8.6,5.28,6.88,3.35,3.52,178.06
1982-05-16,98.45,3.77,6.91,1.14,5.77,230.81,6.59,83.44,0.06,10.51,7.59,9.05,10.8,9.02,15.13,6.11,4.98,8.26,1.69,6.57,231.19
1982-05-17,98.62,2.72,4.35,0.68,3.67,210.25,6.1,85.31,0.26,8.83,6.51,7.67,8.48,7.34,12.51,5.15,3.76,5.41,0.98,4.43,210.44
1982-05-18,98.74,3.73,5.6,1.95,3.65,235.12,6.53,85.25,0.88,9.7,7.45,8.58,10.01,9.3,14.15,4.86,5.22,6.73,3.54,3.18,235.06
1982-05-19,98.92,3.27,4.58,1.86,2.72,186.5,6.53,88.38,1.27,9.26,7.48,8.37,9.42,6.81,11.89,5.08,4.8,5.72,3.55,2.17,186.5
1982-05-20,99.0,2.33,3.81,0.48,3.33,170.81,7.93,90.0,2.49,11.94,10.3,11.12,12.37,8.18,16.15,7.98,3.39,5.92,0.49,5.43,171.44
1982-05-21,99.03,4.33,6.35,1.66,4.7,195.06,8.0,91.94,5.96,11.79,10.48,11.14,11.9,4.41,14.68,10.26,5.96,8.02,3.2,4.82,195.75
1982-05-22,98.05,6.35,8.54,4.0,4.55,232.81,7.45,87.88,2.96,11.37,9.32,10.35,11.66,5.62,14.34,8.73,8.64,10.61,6.65,3.96,233.75
1982-05-23,97.56,6.31,9.48,4.12,5.37,267.69,6.9,86.38,2.69,10.4,8.12,9.26,10.58,5.2,13.07,7.87,8.84,12.13,6.98,5.14,268.88
1982-05-24,98.24,6.88,9.13,4.23,4.91,244.31,7.69,89.81,2.15,11.37,9.71,10.54,11.73,6.88,14.63,7.76,9.07,11.33,6.21,5.12,245.38
1982-05-25,98.54,7.1,9.43,3.62,5.81,216.06,7.87,90.94,1.23,11.67,10.21,10.94,11.63,3.87,13.65,9.79,9.7,12.22,6.62,5.6,217.12
1982-05-26,98.86,3.38,4.34,2.45,1.89,244.12,7.45,85.06,0.63,11.94,9.35,10.65,12.46,7.27,15.85,8.58,5.0,6.45,3.3,3.14,243.94
1982-05-27,99.16,3.73,4.94,2.98,1.95,233.75,6.47,81.31,0.22,10.64,7.34,8.99,11.05,8.7,15.37,6.67,5.56,7.02,4.12,2.88,234.62
1982-05-28,99.66,4.4,6.33,2.03,4.3,254.0,6.9,84.69,0.14,11.01,8.43,9.72,11.43,7.82,15.24,7.42,6.21,7.74,4.01,3.74,254.69
1982-05-29,99.95,2.63,4.09,0.96,3.13,184.06,6.96,75.75,0.08,12.87,8.58,10.73,12.87,11.98,18.14,6.15,3.51,4.77,1.31,3.45,183.62
1982-05-30,99.6,4.79,7.18,2.75,4.43,104.69,7.69,78.31,0.0,13.96,9.94,11.95,13.77,10.98,18.91,7.94,7.18,9.08,4.66,4.41,105.0
1982-05-31,99.14,3.65,5.06,1.48,3.57,170.12,9.03,87.38,1.45,14.41,12.26,13.33,14.3,10.08,19.98,9.9,5.02,7.78,2.27,5.52,170.69
1982-06-01,99.36,1.16,1.84,0.5,1.34,235.44,8.79,75.19,0.01,16.7,11.94,14.32,16.62,11.24,21.47,10.23,1.39,2.1,0.41,1.7,232.31
1982-06-02,99.08,2.32,3.61,0.38,3.23,171.12,10.13,80.88,2.28,17.32,13.9,15.61,16.75,10.57,21.69,11.12,3.11,4.44,0.63,3.81,170.31
1982-06-03,98.86,3.24,4.85,1.96,2.9,121.69,11.6,88.56,3.81,17.92,16.04,16.98,17.9,9.86,22.41,12.55,4.79,6.11,3.11,3.0,122.12
1982-06-04,98.83,2.93,4.67,0.19,4.48,169.88,11.84,85.94,2.6,18.92,16.39,17.65,18.8,10.03,23.24,13.21,4.12,5.59,0.15,5.44,168.69
1982-06-05,98.89,3.14,5.9,0.68,5.22,166.38,11.6,85.75,1.39,18.67,16.14,17.4,18.33,8.48,22.76,14.27,4.1,7.23,1.01,6.22,165.75
